City-State,Final-Score
Minneapolis-Minnesota,100
Rochester-Minnesota,67
Saint-Cloud-Minnesota,50
Saint-Paul-Minnesota,100
Bay-St.-Louis-Mississippi,3
Biloxi-Mississippi,30
Gulfport-Mississippi,13
Hattiesburg-Mississippi,38
Jackson-Mississippi,80
Ocean-Springs-Mississippi,5
Oxford-Mississippi,17
Southaven-Mississippi,0
Starkville-Mississippi,31
Cape-Girardeau-Missouri,12
Columbia-Missouri,100
Independence-Missouri,25
Jefferson-City-Missouri,57
Kansas-City-Missouri,100
Springfield-Missouri,53
St.-Charles-Missouri,60
St.-Louis-Missouri,100
Billings-Montana,20
Bozeman-Montana,80
Butte-Silver-Bow-Montana,36
Great-Falls-Montana,6
Helena-Montana,58
Kalispell-Montana,18
Missoula-Montana,99
Whitefish-Montana,58
Bellevue-Nebraska,46
Fremont-Nebraska,32
Grand-Island-Nebraska,47
Kearney-Nebraska,32
Lincoln-Nebraska,92
North-Platte-Nebraska,32
Omaha-Nebraska,71
Carson-City-Nevada,46
Elko-Nevada,52
Enterprise-Nevada,97
Henderson-Nevada,100
Las-Vegas-Nevada,100
Mesquite-Nevada,33
North-Las-Vegas-Nevada,58
Paradise-Nevada,97
Reno-Nevada,100
Sparks-Nevada,46
Concord-New-Hampshire,68
Derry-New-Hampshire,60
Dover-New-Hampshire,68
Durham-New-Hampshire,96
Keene-New-Hampshire,69
Manchester-New-Hampshire,86
Nashua-New-Hampshire,52
Plymouth-New-Hampshire,44
Portsmouth-New-Hampshire,67
Asbury-Park-New-Jersey,84
Elizabeth-New-Jersey,71
Hoboken-New-Jersey,100
Jersey-City-New-Jersey,100
Lambertville-New-Jersey,98
Montclair-New-Jersey,100
New-Brunswick-New-Jersey,67
Newark-New-Jersey,61
Ocean-Grove-(Neptune)-New-Jersey,89
Paterson-New-Jersey,62
Princeton-New-Jersey,100
Trenton-New-Jersey,95
Albuquerque-New-Mexico,86
Eldorado-at-Santa-Fe-New-Mexico,46
Farmington-New-Mexico,64
