City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
Glendale-California,46.0,40.8,34.17,118.25,87.6,14.2,12.7,199303.0,46.89561297149646,8.296606289793713,70
Guerneville-California,51.1,52.5,38.51,122.99,92.6,11.7,13.1,4534.0,64.86883057299568,5.336055782655959,94
Hayward-California,51.1,36.5,37.64,122.08,83.9,7.6,8.8,159203.0,66.25949912300507,8.172175722105504,79
Huntington-Beach-California,49.7,42.5,33.69,118.0,92.1,16.3,8.3,199223.0,54.23658375832826,11.49057614163958,59
Irvine-California,50.2,33.0,33.68,117.79,97.0,30.4,13.8,287401.0,54.23658375832826,11.49057614163958,97
Laguna-Beach-California,50.4,52.4,33.53,117.77,97.4,29.9,6.3,22827.0,54.23658375832826,11.49057614163958,94
Lancaster-California,48.6,33.5,34.69,118.15,82.6,6.4,16.5,157601.0,46.89561297149646,8.296606289793713,77
Long-Beach-California,49.9,36.0,33.8,118.16,80.4,10.8,14.7,462628.0,46.89561297149646,8.296606289793713,100
Los-Angeles-California,49.5,35.9,34.09,118.38,78.5,12.0,16.7,3979576.0,46.89561297149646,8.296606289793713,100
Modesto-California,49.1,35.8,37.66,120.99,83.4,5.1,12.2,215196.0,60.66307320590997,12.824495143385302,60
Oakland-California,47.5,36.9,37.8,122.23,85.9,21.0,13.9,433031.0,66.25949912300507,8.172175722105504,100
Oceanside-California,47.4,37.5,33.21,117.33,85.1,11.0,7.6,175742.0,56.082728951805514,9.767025176452268,100
Ontario-California,48.7,32.1,34.05,117.63,74.6,4.9,11.8,185010.0,60.013757794035996,11.96554655293557,52
Orange-California,52.8,36.6,33.8,117.83,84.5,13.1,9.2,138669.0,54.23658375832826,11.49057614163958,71
Oxnard-California,50.6,34.1,34.19,119.18,73.0,5.4,11.7,208881.0,55.18353783106892,8.907979662779145,58
Palm-Desert-California,48.2,55.4,33.73,116.37,92.3,14.4,13.1,53275.0,55.56330923653695,10.974675757350177,96
Palm-Springs-California,59.0,56.3,33.82,116.53,90.8,17.2,17.3,48518.0,55.56330923653695,10.974675757350177,100
Palmdale-California,49.1,32.0,34.58,118.1,75.8,3.6,13.5,155079.0,46.89561297149646,8.296606289793713,83
Pasadena-California,47.8,38.5,34.16,118.13,89.7,25.9,11.0,141029.0,46.89561297149646,8.296606289793713,95
Pomona-California,49.3,34.3,34.06,117.76,72.0,4.5,13.0,151691.0,46.89561297149646,8.296606289793713,74
Rancho-Cucamonga-California,48.9,36.9,34.12,117.58,91.5,13.7,7.5,177603.0,60.013757794035996,11.96554655293557,69
Rancho-Mirage-California,51.0,66.9,33.77,116.42,95.7,20.0,11.6,18528.0,55.56330923653695,10.974675757350177,100
Richmond-California,50.1,36.5,37.94,122.34,76.3,11.2,13.4,110567.0,61.52656037749339,7.732894830914421,84
Riverside-California,50.9,31.1,33.95,117.4,81.0,9.5,11.5,331360.0,55.56330923653695,10.974675757350177,100
Sacramento-California,49.6,34.8,38.56,121.47,87.0,11.6,13.9,513624.0,62.92716036504397,11.109552660439755,100
Salinas-California,51.2,30.3,36.68,121.64,59.6,3.4,17.9,155465.0,50.593292005676325,5.691748362273134,59
San-Bernardino-California,50.3,31.1,34.13,117.29,72.3,4.0,20.3,215784.0,60.013757794035996,11.96554655293557,53
San-Diego-California,50.4,35.4,32.78,117.15,89.5,19.3,11.0,1423851.0,56.082728951805514,9.767025176452268,100
San-Francisco-California,50.8,38.2,37.76,122.44,88.4,24.1,9.5,881549.0,64.69229479592914,3.768837668506709,100
San-Jose-California,50.6,37.4,37.3,121.87,85.4,19.2,7.1,1021795.0,56.44310136379811,8.340564490509317,97
Santa-Ana-California,51.6,33.2,33.74,117.88,63.2,5.7,12.6,332318.0,54.23658375832826,11.49057614163958,85
Santa-Clarita-California,50.4,38.5,34.42,118.51,89.9,12.1,8.4,212979.0,46.89561297149646,8.296606289793713,74
Santa-Monica-California,51.0,41.6,34.02,118.48,94.1,26.2,11.0,90401.0,46.89561297149646,8.296606289793713,100
Santa-Rosa-California,47.7,39.2,38.45,122.7,85.4,13.3,6.5,176753.0,64.86883057299568,5.336055782655959,80
Signal-Hill-California,45.1,38.4,33.8,118.17,86.6,15.1,16.4,11421.0,46.89561297149646,8.296606289793713,86
Stockton-California,49.6,34.0,37.98,121.3,76.4,6.0,15.4,312697.0,55.89313387012517,9.913819520039223,77
Aspen-Colorado,50.6,42.3,39.19,106.82,98.1,20.2,7.0,7401.0,81.78796361091672,2.385117797993935,67
Aurora-Colorado,50.2,34.3,39.7,104.81,88.3,11.4,9.4,379289.0,70.64082445092085,7.827845372427271,74
Boulder-Colorado,52.7,28.9,40.02,105.26,97.0,40.6,19.2,105673.0,58.492295470979435,9.785549637264188,100
Colorado-Springs-Colorado,50.1,35.6,38.86,104.79,94.4,15.4,9.3,478221.0,66.62199102308831,15.312496484605385,77
Denver-Colorado,50.1,34.7,39.73,104.97,91.2,20.5,11.7,727211.0,49.22020534592557,8.710706180705747,100
Fort-Collins-Colorado,51.2,30.6,40.56,105.08,98.0,23.6,15.5,170243.0,59.32149651236524,18.81987784934753,100
Lakewood-Colorado,50.3,37.6,39.71,105.1,93.2,14.6,7.9,157935.0,64.3125061968822,12.869684945832235,58
Littleton-Colorado,48.0,41.1,39.6,105.01,94.6,18.5,7.5,48065.0,66.63706309232644,11.224416655157404,51
Bridgeport-Connecticut,47.6,33.9,41.19,73.2,74.4,7.6,26.2,144399.0,36.77196074731493,5.1141488761808365,42
Fairfield-Connecticut,47.5,40.0,41.17,73.26,91.6,22.8,3.8,59404.0,36.77196074731493,5.1141488761808365,46
