City-State,PercentageMales,MedianAge,Latitude,Longitude,PercentageHighSchoolGrads,PercentagePHDs,PercentageBelowPovertyLevel,Population,PercentageNoReligion,PercentageEvangelicals,FinalScore
Frederick-Maryland,47.3,36.9,39.43,77.42,87.7,18.0,8.2,72244.0,58.09156543908135,9.169826681234868,100
Gaithersburg-Maryland,46.8,38.7,39.13,77.23,88.9,27.7,10.2,67985.0,60.4222985314532,10.740838690357974,100
Hagerstown-Maryland,47.0,35.7,39.64,77.72,84.0,6.3,25.7,40100.0,62.26548192362477,14.882317031811706,68
Rockville-Maryland,47.9,39.9,39.08,77.15,92.2,34.8,7.6,68079.0,60.4222985314532,10.740838690357974,100
Amherst-Massachusetts,48.9,21.6,42.37,72.51,95.1,41.7,24.0,37819.0,57.631578947368425,1.9787449392712553,78
Arlington-Massachusetts,46.5,41.0,42.42,71.17,96.6,41.0,5.2,42844.0,38.531154259406485,2.745686371695546,100
Boston-Massachusetts,47.8,32.6,42.32,71.09,88.6,24.3,17.1,692600.0,38.6932272240635,6.7258245235955085,100
Cambridge-Massachusetts,49.9,29.7,42.37,71.11,95.8,50.3,11.6,118927.0,38.531154259406485,2.745686371695546,100
Lowell-Massachusetts,51.3,36.2,42.64,71.31,84.9,10.3,13.9,110997.0,38.531154259406485,2.745686371695546,50
Northampton-Massachusetts,41.6,41.3,42.33,72.66,93.8,33.9,13.7,28451.0,57.631578947368425,1.9787449392712553,100
Provincetown-Massachusetts,57.7,57.9,42.05,70.19,95.2,24.3,10.3,2642.0,46.56488549618321,2.4461757948565923,100
Salem-Massachusetts,45.4,36.8,42.52,70.9,91.2,17.4,14.7,43226.0,42.88530449069445,2.815682781208328,100
Springfield-Massachusetts,47.4,32.1,42.11,72.55,80.2,6.8,22.8,153606.0,39.56245010679842,4.193833739670759,68
Worcester-Massachusetts,49.5,34.5,42.27,71.8,86.3,11.0,17.1,185428.0,48.015282661617526,4.697377252827618,100
Ann-Arbor-Michigan,50.1,27.6,42.27,83.74,97.6,46.3,20.4,119980.0,67.16967670269815,7.349089738421247,100
Detroit-Michigan,47.8,35.0,42.39,83.1,83.6,7.0,30.6,670031.0,56.68933704789233,10.10582318640612,100
East-Lansing-Michigan,49.7,21.7,42.74,84.48,96.9,39.5,41.0,48145.0,59.97116360205771,11.548799373431354,100
Ferndale-Michigan,50.5,35.1,42.46,83.13,95.8,17.3,9.1,20033.0,49.46821339995775,12.95999041885888,100
Grand-Rapids-Michigan,49.6,31.4,42.96,85.66,87.7,11.3,22.4,201013.0,45.3169648635463,23.45500164282087,92
Kalamazoo-Michigan,48.3,27.8,42.28,85.58,85.1,11.6,26.3,76200.0,61.74904426539262,14.78122965194083,80
Lansing-Michigan,49.5,33.3,42.72,84.55,90.1,9.6,21.3,118210.0,59.97116360205771,11.548799373431354,87
Pleasant-Ridge-Michigan,50.1,46.6,42.47,83.14,99.2,35.6,3.9,2425.0,49.46821339995775,12.95999041885888,55
Sterling-Heights-Michigan,47.7,42.2,42.58,83.03,88.7,10.0,8.9,132438.0,56.940609623557336,8.607002799121975,61
Traverse-City-Michigan,47.1,41.5,44.76,85.61,96.4,16.6,11.7,15738.0,60.60975329363346,12.345664819626148,84
Warren-Michigan,49.7,38.2,42.49,83.02,86.4,6.5,12.0,133943.0,56.940609623557336,8.607002799121975,16
Bloomington-Minnesota,48.2,39.6,44.83,93.31,92.0,12.3,9.3,84943.0,45.65954400503286,14.065470638002472,82
Duluth-Minnesota,48.7,34.5,46.78,92.12,95.0,15.2,16.8,85618.0,53.1379541118536,9.497767522699348,92
Eden-Prairie-Minnesota,49.9,39.7,44.85,93.46,96.2,24.6,5.4,64893.0,45.65954400503286,14.065470638002472,53
Minneapolis-Minnesota,50.8,32.2,44.96,93.27,91.2,20.7,17.4,429606.0,45.65954400503286,14.065470638002472,100
Rochester-Minnesota,49.2,36.3,44.03,92.47,94.3,25.2,7.4,118935.0,36.03446841550662,18.277549775386834,67
Biloxi-Mississippi,50.8,36.8,30.41,88.93,87.9,8.9,19.4,46212.0,50.25894551187836,21.375698137409476,30
Gulfport-Mississippi,49.1,34.6,30.4,89.08,89.0,6.5,30.7,71705.0,50.25894551187836,21.375698137409476,13
Hattiesburg-Mississippi,45.2,29.6,31.32,89.31,87.5,14.2,32.5,45863.0,31.694557877598957,45.071663063495876,38
Jackson-Mississippi,45.1,34.7,32.32,90.2,86.7,11.5,23.0,160628.0,32.93841857431152,37.116823287196524,80
Ocean-Springs-Mississippi,45.4,43.1,30.41,88.8,94.9,15.7,10.2,17862.0,49.33914712031389,29.925251310250022,5
Oxford-Mississippi,49.4,28.6,34.36,89.53,93.8,25.9,30.2,28122.0,59.601697957804475,19.4166965850774,17
Southaven-Mississippi,46.8,35.8,34.97,89.99,90.7,8.1,10.4,55780.0,47.221739885396765,36.75923399399698,0
Starkville-Mississippi,49.1,27.8,33.46,88.82,90.5,25.0,29.9,25653.0,52.352583331585244,28.07786704705167,31
Cape-Girardeau-Missouri,48.1,34.1,37.31,89.55,91.5,14.8,23.0,40559.0,23.117583317916328,48.095779263683696,12
Columbia-Missouri,48.3,28.5,38.95,92.33,94.4,26.3,22.4,123195.0,60.681127875948405,19.79009112037481,100
Independence-Missouri,47.9,36.8,39.08,94.41,91.4,6.8,17.2,116672.0,47.198282895107674,22.901159668801675,25
Jefferson-City-Missouri,53.1,39.8,38.57,92.19,91.1,12.1,12.9,42708.0,30.415844190025005,30.26977233846559,57
Kansas-City-Missouri,48.1,35.3,39.08,94.56,91.2,12.8,15.3,495327.0,47.198282895107674,22.901159668801675,100
Springfield-Missouri,48.6,33.6,37.2,93.29,90.5,10.0,20.9,167882.0,47.83627813674257,35.07635169020329,53
Billings-Montana,49.2,37.6,45.79,108.54,94.2,11.4,12.0,109577.0,60.86827237585489,14.087124591138863,20
Bozeman-Montana,53.7,27.6,45.68,111.05,97.9,23.0,17.8,49831.0,67.70189804832818,13.516472467686258,80
Butte-Silver-Bow-Montana,50.6,40.6,45.96,112.56,92.5,8.4,17.3,34207.0,57.62865497076023,5.441520467836257,36
Great-Falls-Montana,49.6,37.7,47.5,111.29,91.5,8.4,14.7,58434.0,62.36305286067358,13.486296064037774,6
Helena-Montana,48.0,41.3,46.6,112.03,96.1,19.4,13.7,33124.0,61.31713857559744,11.628677340484266,58
Kalispell-Montana,50.4,37.0,48.2,114.32,93.7,11.4,13.3,24565.0,67.60513813126869,17.094844272391345,18
Missoula-Montana,49.9,34.6,46.86,114.01,96.3,16.2,13.8,75516.0,71.47183414303882,8.175738112883009,99
Whitefish-Montana,51.3,40.5,48.41,114.34,97.6,17.2,7.6,8295.0,67.60513813126869,17.094844272391345,58
Bellevue-Nebraska,50.7,34.1,41.16,95.93,92.5,9.9,10.5,53544.0,58.19755729035507,12.425081843364392,46
Fremont-Nebraska,48.7,37.7,41.44,96.49,87.4,7.1,14.0,26383.0,50.34749666130659,19.33716715270775,32
Grand-Island-Nebraska,50.5,35.2,40.92,98.36,82.8,6.1,12.8,51267.0,41.25104509700206,19.03014998208405,47
Kearney-Nebraska,49.9,32.0,40.7,99.08,93.6,13.3,16.7,33867.0,40.21083684005033,18.03175567220511,32
Lincoln-Nebraska,50.2,33.5,40.81,96.68,92.6,14.8,11.8,289102.0,53.11011993398901,13.329035377548553,92
North-Platte-Nebraska,49.1,39.1,41.14,100.77,92.4,8.1,12.2,23639.0,44.207451499118164,15.360449735449736,32
Omaha-Nebraska,49.0,34.6,41.26,96.01,90.6,14.4,11.6,478192.0,46.82369321807739,12.531376302914273,71
Carson-City-Nevada,51.3,42.8,39.16,119.75,87.0,7.9,11.3,55916.0,73.01443716756522,12.17208814270724,46
Elko-Nevada,52.2,32.9,40.84,115.77,85.0,7.4,14.4,20452.0,60.41828833626941,6.911385144823631,52
Enterprise-Nevada,49.7,35.6,36.03,115.2,94.1,11.8,7.3,191871.0,64.23870824576213,7.723640359171391,97
Henderson-Nevada,48.5,43.7,36.03,115.03,94.6,12.5,7.2,320189.0,64.23870824576213,7.723640359171391,100
Las-Vegas-Nevada,50.6,36.8,36.19,115.22,83.8,8.9,14.9,651319.0,64.23870824576213,7.723640359171391,100
Mesquite-Nevada,48.9,60.8,36.8,114.08,88.5,8.5,8.4,19726.0,64.23870824576213,7.723640359171391,33
North-Las-Vegas-Nevada,49.1,33.5,36.23,115.15,81.5,5.0,10.2,251974.0,64.23870824576213,7.723640359171391,58
Paradise-Nevada,50.3,37.8,36.08,115.12,86.2,8.7,15.3,237899.0,64.23870824576213,7.723640359171391,97
Reno-Nevada,50.9,35.9,39.53,119.82,89.9,13.7,12.6,255601.0,70.45469107062769,7.725785285958706,100
Sparks-Nevada,50.6,38.9,39.55,119.74,84.7,8.0,9.6,105006.0,70.45469107062769,7.725785285958706,46
Concord-New-Hampshire,50.2,40.1,43.22,71.55,92.2,16.4,9.0,43627.0,69.05527672505036,3.5474068763016833,68
Derry-New-Hampshire,48.5,39.8,42.88,71.31,94.3,7.4,9.1,22015.0,61.07518723134715,2.5255484836886013,60
Dover-New-Hampshire,47.8,36.8,43.19,70.88,93.9,18.1,9.9,32191.0,72.68785071014999,3.364381247817578,68
Durham-New-Hampshire,46.3,20.6,43.14,70.93,97.9,40.4,31.6,10345.0,72.68785071014999,3.364381247817578,96
Keene-New-Hampshire,46.6,37.0,42.94,72.29,92.7,16.6,12.6,22786.0,75.7835496712787,5.03261278317362,69
Manchester-New-Hampshire,48.4,38.7,42.99,71.45,86.9,9.7,12.3,112673.0,56.64564622268361,5.137739225046853,86
Nashua-New-Hampshire,52.6,39.7,42.75,71.48,91.8,14.3,6.6,89355.0,56.64564622268361,5.137739225046853,52
Plymouth-New-Hampshire,54.5,21.1,43.76,71.69,93.2,27.0,8.1,4456.0,77.39065059808344,1.6764290042415673,44
Portsmouth-New-Hampshire,48.9,40.0,43.07,70.77,95.8,23.9,6.7,21927.0,61.07518723134715,2.5255484836886013,67
Asbury-Park-New-Jersey,49.1,37.0,40.22,74.01,85.4,11.4,25.8,15408.0,42.82956312065738,2.5421174529648782,84
Elizabeth-New-Jersey,49.4,34.8,40.66,74.21,73.7,4.2,13.1,129216.0,33.83808730305182,5.614735535387764,71
Hoboken-New-Jersey,49.8,31.9,40.74,74.03,95.6,29.8,8.7,52677.0,41.566945098744064,3.135908278230269,100
Jersey-City-New-Jersey,50.2,34.1,40.72,74.07,88.7,22.7,14.5,262075.0,41.566945098744064,3.135908278230269,100
Lambertville-New-Jersey,50.7,48.8,40.37,74.94,94.1,22.9,8.8,3801.0,48.95636117149335,3.2894685583837817,98
Montclair-New-Jersey,46.3,37.5,40.82,74.21,92.0,27.1,5.0,37837.0,43.276328528296396,4.421858517364845,100
New-Brunswick-New-Jersey,47.9,24.0,40.49,74.45,64.2,10.3,34.4,55676.0,43.76594415317253,3.6174242891963777,67
Newark-New-Jersey,49.8,34.6,40.74,74.18,75.7,3.9,25.2,282011.0,43.276328528296396,4.421858517364845,61
Paterson-New-Jersey,49.5,32.4,40.92,74.16,79.7,1.8,25.5,145233.0,42.287112001372634,4.0229357615127705,62
Princeton-New-Jersey,50.6,33.8,40.35,74.66,96.3,55.7,7.8,31187.0,47.40077432451236,4.713066112252498,100
Trenton-New-Jersey,46.8,34.5,40.22,74.76,71.4,5.3,31.4,83203.0,47.40077432451236,4.713066112252498,95
Albuquerque-New-Mexico,48.2,37.3,35.11,106.61,89.4,15.5,16.0,560513.0,52.80440832885578,12.296170634082142,86
Eldorado-at-Santa-Fe-New-Mexico,49.6,64.2,35.54,105.92,99.3,36.6,5.5,6130.0,39.31469792605951,5.437330928764653,46
Farmington-New-Mexico,50.2,35.0,36.75,108.19,87.5,9.1,17.4,44372.0,59.530620405401244,15.306357848112947,64
Gallup-New-Mexico,46.6,33.5,35.52,108.73,84.0,11.9,28.4,21493.0,54.55435573210988,12.134224808370167,37
Las-Cruces-New-Mexico,49.5,30.5,32.32,106.77,85.0,15.1,22.2,103432.0,51.08849942408702,10.571946107927525,73
Rio-Rancho-New-Mexico,48.7,37.9,35.29,106.67,95.1,11.6,6.4,99178.0,52.80440832885578,12.296170634082142,44
Roswell-New-Mexico,48.7,35.8,33.39,104.53,78.5,6.3,19.7,47551.0,46.53515119201767,25.93647650239927,44
Santa-Fe-New-Mexico,46.5,44.9,35.67,105.96,86.5,20.3,13.9,84683.0,39.31469792605951,5.437330928764653,65
Albany-New-York,44.9,30.6,42.66,73.78,85.6,19.8,22.6,96460.0,54.77902986154029,5.2178801067704565,100
Brookhaven-New-York,49.1,46.6,40.78,72.92,86.8,18.5,12.8,3451.0,27.891652994944256,3.9447550808584726,61
Buffalo-New-York,47.6,32.7,42.9,78.85,85.7,11.8,28.8,255284.0,42.6167522632312,5.378982416434541,100
Ithaca-New-York,50.7,22.0,42.44,76.5,94.8,40.0,39.2,30837.0,77.20156748454177,4.577409318262377,99
New-York-New-York,47.7,37.2,40.7,73.92,83.2,16.5,16.0,8336817.0,55.980270803525876,4.175050587279057,100
New-Rochelle-New-York,47.0,44.3,40.93,73.78,83.5,21.4,10.6,78557.0,35.76528822173967,3.046528706276281,100
Northwest-Harbor-New-York,52.4,55.9,41.01,72.21,98.8,28.7,3.9,3317.0,27.891652994944256,3.9447550808584726,44
Rochester-New-York,49.6,33.3,43.17,77.61,82.0,12.4,25.3,205695.0,53.649522263899485,8.1125124942231,100
Syracuse-New-York,46.1,32.2,43.05,76.14,84.8,15.0,31.3,142327.0,44.434999336225395,5.427749204541075,100
White-Plains-New-York,48.8,40.1,41.02,73.76,87.9,25.9,12.3,58109.0,35.76528822173967,3.046528706276281,98
Yonkers-New-York,47.8,37.9,40.94,73.86,84.7,15.6,14.2,200370.0,35.76528822173967,3.046528706276281,100
Carrboro-North-Carolina,45.3,33.0,35.92,79.08,95.1,41.4,15.7,21190.0,56.00705525369766,12.136680592820682,84
Cary-North-Carolina,49.0,39.2,35.78,78.8,97.2,33.2,4.4,170282.0,53.5858769158029,18.275502695359453,12
Chapel-Hill-North-Carolina,46.6,26.0,35.93,79.04,96.0,48.2,19.5,64051.0,56.00705525369766,12.136680592820682,100
Charlotte-North-Carolina,47.9,34.2,35.21,80.83,89.4,15.8,11.2,885708.0,48.05633821182029,22.19789437997868,86
Durham-North-Carolina,47.8,34.5,35.99,78.91,89.4,26.5,15.2,278993.0,58.10969890166563,21.377346433122685,100
Fayetteville-North-Carolina,50.3,30.2,35.07,78.92,91.5,9.3,19.3,211657.0,53.537070603667146,28.55984547523565,39
Greensboro-North-Carolina,45.8,34.7,36.08,79.82,88.4,13.6,19.7,296710.0,51.38865130373158,23.088593468716144,100
Raleigh-North-Carolina,48.2,34.5,35.82,78.64,91.8,18.7,10.9,474069.0,53.5858769158029,18.275502695359453,69
Wilmington-North-Carolina,45.3,35.9,34.22,77.91,91.5,15.7,20.3,123744.0,52.696294907409694,22.28384492788663,36
Winston-Salem-North-Carolina,47.1,35.0,36.1,80.26,87.3,13.0,19.7,247945.0,45.72392085052419,28.555342930828086,87
Bismarck-North-Dakota,49.3,35.9,46.81,100.78,94.7,10.2,7.3,73529.0,36.00260736950854,13.317262753972548,63
Fargo-North-Dakota,51.3,33.4,46.87,96.81,94.3,12.8,16.1,124662.0,40.54200216320154,9.55948136575465,85
Grand-Forks-North-Dakota,51.8,29.3,47.91,97.05,95.1,13.7,18.5,55839.0,46.22724757332376,8.018127159330552,78
Jamestown-North-Dakota,50.1,38.2,46.91,98.7,90.1,4.9,14.7,15084.0,34.97156398104265,12.578199052132701,37
Mandan-North-Dakota,49.9,37.0,46.83,100.89,91.8,6.6,8.2,22752.0,18.29201703614721,11.310108842051617,42
Minot-North-Dakota,51.8,32.0,48.23,101.29,93.2,8.3,10.9,47382.0,46.98500202675314,13.9813538710985,49
West-Fargo-North-Dakota,50.0,33.7,46.87,96.89,96.9,13.8,6.4,37058.0,40.54200216320154,9.55948136575465,58
Akron-Ohio,48.6,38.0,41.07,81.52,88.1,8.4,23.6,197597.0,52.97841747864912,13.582240794712256,100
Cincinnati-Ohio,49.0,32.5,39.14,84.5,89.7,18.9,23.1,303940.0,47.529954858956046,11.611293486578578,100
Cleveland-Ohio,48.1,35.5,41.48,81.67,82.0,7.3,30.8,381009.0,47.28697733497276,8.317722842041618,100
Columbus-Ohio,49.0,32.4,39.99,82.99,90.4,13.5,16.3,898553.0,59.57698635223575,12.390000464151196,100
Dayton-Ohio,49.2,33.0,39.76,84.2,83.7,6.6,29.6,140407.0,51.45407014442599,17.44061978536979,100
Dublin-Ohio,51.1,40.3,40.11,83.14,97.1,31.9,2.5,49037.0,59.57698635223575,12.390000464151196,45
Lakewood-Ohio,49.4,34.7,41.48,81.8,94.0,17.5,14.0,49678.0,47.28697733497276,8.317722842041618,81
Toledo-Ohio,48.0,35.6,41.67,83.58,85.6,6.2,25.2,272779.0,55.19889546529656,9.115127372316467,98
Broken-Arrow-Oklahoma,48.7,37.6,36.04,95.78,94.1,11.2,7.8,110198.0,37.30177012709582,35.401713282830876,0
Edmond-Oklahoma,48.8,39.0,35.66,97.46,93.9,20.0,7.1,94054.0,27.502355165988757,45.2582890014792,28
Lawton-Oklahoma,52.6,31.5,34.61,98.42,90.4,8.1,20.4,93025.0,49.04027462166997,35.636351915421685,17
Moore-Oklahoma,48.7,34.6,35.34,97.49,91.5,7.6,8.6,62055.0,56.91384332662118,29.911829680749154,0
Norman-Oklahoma,49.5,31.2,35.22,97.42,93.3,23.2,16.7,124880.0,56.91384332662118,29.911829680749154,100
Oklahoma-City-Oklahoma,49.4,34.6,35.48,97.53,86.7,11.8,15.8,655057.0,27.502355165988757,45.2582890014792,61
Stillwater-Oklahoma,50.3,24.5,36.12,97.07,94.5,23.1,35.2,50299.0,51.657401422107306,30.907563025210084,41
Tulsa-Oklahoma,48.5,35.5,36.13,95.94,88.1,11.9,18.6,401190.0,37.30177012709582,35.401713282830876,78
Ashland-Oregon,45.2,46.0,42.19,122.7,96.9,29.1,18.4,21281.0,71.52446286034862,12.740765528576912,55
Bend-Oregon,51.7,39.8,44.06,121.31,94.8,18.4,10.2,100421.0,74.4416196991118,10.986286953269133,58
Corvallis-Oregon,49.9,28.6,44.57,123.28,96.1,29.3,25.6,58856.0,74.03101228105025,7.8967971114408915,64
Eugene-Oregon,48.6,36.9,44.06,123.11,95.0,20.6,17.3,172622.0,75.04911647214364,9.681418193707973,100
Gresham-Oregon,47.9,37.7,45.5,122.44,84.2,8.5,11.5,109381.0,64.10692284050513,9.990698104534811,70
Hillsboro-Oregon,48.5,34.4,45.52,122.94,90.7,19.1,8.6,109128.0,69.15010099865965,11.091351871778897,62
Portland-Oregon,49.7,37.5,45.52,122.64,93.5,21.4,12.3,654741.0,64.10692284050513,9.990698104534811,100
Salem-Oregon,50.8,34.8,44.93,123.03,87.7,11.9,13.7,174365.0,57.545150395611024,14.783959915645267,90
Allentown-Pennsylvania,49.2,31.2,40.6,75.48,81.2,4.5,22.3,121442.0,49.52174124527535,5.906774593201086,94
Carlisle-Pennsylvania,47.1,34.0,40.2,77.2,91.0,17.8,15.8,19198.0,47.2477337026244,12.997969465519146,86
Erie-Pennsylvania,48.6,37.1,42.11,80.08,85.7,7.5,28.5,95508.0,43.58546652124634,8.442576791200644,86
Harrisburg-Pennsylvania,47.8,30.9,40.27,76.88,79.6,8.2,26.2,49271.0,52.12719134651249,10.210369265199553,69
New-Hope-Pennsylvania,52.7,51.6,40.36,74.96,94.0,23.9,6.8,2530.0,31.236515372275687,4.716041129214121,89
Philadelphia-Pennsylvania,47.3,34.7,40.0,75.14,85.9,13.0,23.3,1584064.0,51.22771470099069,7.4992496752961655,100
Pittsburgh-Pennsylvania,48.7,33.3,40.44,79.98,94.1,22.8,19.1,300286.0,39.430235713795255,6.384201388321229,100
Reading-Pennsylvania,50.6,30.4,40.34,75.93,71.7,3.5,24.7,88375.0,52.13031241341428,8.111957456944113,91
State-College-Pennsylvania,53.2,22.3,40.79,77.86,97.9,41.4,44.9,42160.0,62.48197934930839,7.574517825832847,100
Wilkes-Barre-Pennsylvania,49.4,34.3,41.24,75.88,84.4,5.9,26.6,40766.0,41.05815192666039,3.8956992128830414,80
Cranston-Rhode-Island,46.5,40.6,41.77,71.45,91.9,15.6,10.0,81456.0,45.42843328274825,2.6960092042504233,59
East-Providence-Rhode-Island,48.3,41.3,41.8,71.36,85.8,10.3,10.2,47618.0,45.42843328274825,2.6960092042504233,66
Narragansett-Rhode-Island,48.9,40.4,41.43,71.46,91.3,17.6,15.2,15868.0,53.47577158427772,3.0249096307263406,52
Newport-Rhode-Island,47.7,35.9,41.49,71.31,94.1,20.8,14.5,24334.0,52.847215519737475,1.8362127207798475,62
Pawtucket-Rhode-Island,51.7,36.0,41.88,71.38,82.3,6.6,14.9,72117.0,45.42843328274825,2.6960092042504233,64
Providence-Rhode-Island,48.3,31.9,41.82,71.42,83.5,15.3,22.6,179883.0,45.42843328274825,2.6960092042504233,100
South-Kingstown-Rhode-Island,47.5,35.7,41.45,71.53,91.3,19.9,5.0,30639.0,53.47577158427772,3.0249096307263406,58
Warwick-Rhode-Island,46.4,44.7,41.72,71.42,93.1,13.2,5.8,81004.0,42.73462607879247,2.2785541472574296,67
Charleston-South-Carolina,46.8,34.0,32.79,79.99,95.6,20.6,12.2,137566.0,43.495741114591574,22.158768049935894,81
Clemson-South-Carolina,53.4,24.5,34.68,82.81,94.7,36.6,38.7,17501.0,49.516875796819434,38.785814936589944,0
Columbia-South-Carolina,52.2,28.6,34.02,81.01,89.3,18.0,22.5,131674.0,48.715748080644154,24.379200216382664,82
Greenville-South-Carolina,48.4,35.4,34.84,82.39,89.5,21.7,13.3,70635.0,39.73937614272259,41.432766358246994,33
Mount-Pleasant-South-Carolina,48.6,43.3,32.82,79.85,97.2,26.3,3.4,91684.0,43.495741114591574,22.158768049935894,32
Myrtle-Beach-South-Carolina,47.8,46.9,33.7,78.88,88.4,9.7,21.6,34695.0,59.18021768272983,22.918701330530915,54
North-Charleston-South-Carolina,48.0,33.4,32.89,80.02,83.1,7.5,15.1,115382.0,43.495741114591574,22.158768049935894,40
Rock-Hill-South-Carolina,45.4,36.1,34.94,81.03,92.6,11.5,12.6,75048.0,50.32312571602978,29.916885253878174,17
Aberdeen-South-Dakota,49.4,36.2,45.46,98.48,92.3,8.3,12.6,28257.0,22.939421313405052,20.2567682242479,12
Brookings-South-Dakota,51.9,24.8,44.31,96.79,94.8,16.6,18.0,24415.0,47.007664633192555,12.569998435789145,100
Mitchell-South-Dakota,49.7,36.5,43.71,98.03,91.7,7.5,16.2,15679.0,27.20467596390484,15.181501230516817,12
Pierre-South-Dakota,47.9,38.1,44.37,100.34,92.1,10.4,13.8,13867.0,23.293385031136175,26.700740218540712,0
Rapid-City-South-Dakota,50.2,39.1,44.08,103.23,92.7,11.3,13.7,77503.0,58.77877719221778,16.184570273804336,19
Sioux-Falls-South-Dakota,51.1,35.3,43.54,96.73,92.6,11.5,8.6,183793.0,38.01720678830222,12.882668114334269,52
Spearfish-South-Dakota,47.0,36.8,44.49,103.85,95.9,13.9,13.8,11756.0,57.05689504917625,20.334481470722494,7
Vermillion-South-Dakota,48.4,23.4,42.78,96.93,95.1,30.3,28.7,10926.0,46.37911136757069,5.640507789959607,52
Watertown-South-Dakota,49.7,38.5,44.9,97.12,90.6,5.3,14.7,22174.0,26.135821059977225,17.589157821280345,29
Chattanooga-Tennessee,47.2,37.6,35.05,85.27,87.7,12.6,16.7,182799.0,39.678359879095176,40.775360143611636,50
Clarksville-Tennessee,50.2,29.2,36.56,87.36,94.7,10.2,13.9,158146.0,52.767639020257526,31.817258647602582,37
Franklin-Tennessee,45.9,37.2,35.93,86.86,96.5,25.1,6.4,83097.0,37.96715834525226,36.461005994038715,19
Johnson-City-Tennessee,48.5,34.7,36.34,82.37,88.7,19.8,21.5,66906.0,43.15370916985827,41.73639401849096,12
Knoxville-Tennessee,46.7,34.2,35.97,83.94,89.4,12.6,21.8,187603.0,37.07458598048243,42.5134073378279,60
Memphis-Tennessee,47.5,34.6,35.12,89.97,86.2,10.3,21.7,651073.0,36.599385108942656,28.07122128747666,48
Murfreesboro-Tennessee,50.8,31.2,35.86,86.39,93.2,12.7,13.6,146900.0,61.59731001812615,27.23073525155748,12
Amarillo-Texas,48.8,34.7,35.2,101.85,85.2,8.3,15.4,199371.0,22.783775077845597,50.18294747796784,43
Arlington-Texas,48.5,33.6,32.71,97.12,87.6,10.9,12.0,398854.0,44.785504307823956,30.108334061161923,100
Austin-Texas,50.6,33.9,30.3,97.75,90.0,21.1,12.2,978908.0,53.78505192986977,16.381682102110194,100
Brownsville-Texas,47.4,31.1,25.93,97.48,67.9,5.5,25.8,182781.0,50.27177391561223,11.753237162128896,46
College-Station-Texas,51.0,23.6,30.6,96.31,94.8,29.9,25.0,117911.0,58.8418843116022,19.744317452822926,22
Corpus-Christi-Texas,49.5,35.3,27.74,97.4,85.1,8.9,17.2,326586.0,39.5655202617107,19.90194666439365,58
Dallas-Texas,49.1,32.9,32.8,96.79,79.4,13.2,17.5,1343573.0,38.552677862236976,26.005610312570337,100
Denton-Texas,48.7,29.5,33.22,97.13,90.0,14.7,13.9,141541.0,59.810387344668236,25.3458272840598,78
El-Paso-Texas,49.1,32.9,31.79,106.42,81.2,7.4,18.6,681728.0,42.27468534822462,10.873206294409396,63
Fort-Worth-Texas,48.6,32.8,32.74,97.33,83.0,10.5,11.9,909585.0,44.785504307823956,30.108334061161923,100
Garland-Texas,50.2,33.7,32.91,96.64,77.3,7.8,12.7,239928.0,38.552677862236976,26.005610312570337,24
Grand-Prairie-Texas,49.3,32.2,32.72,97.02,82.6,9.6,10.7,194543.0,38.552677862236976,26.005610312570337,36
Houston-Texas,50.0,33.4,29.76,95.38,80.0,13.3,19.7,2320268.0,41.6054015446459,26.323709046321543,76
Irving-Texas,50.7,32.0,32.85,96.97,81.6,15.1,10.3,239798.0,38.552677862236976,26.005610312570337,47
Irving-Texas,50.7,32.0,32.85,96.97,81.6,15.1,10.3,239798.0,38.552677862236976,26.005610312570337,47
Killeen-Texas,50.0,29.4,31.11,97.73,92.0,5.7,16.3,151666.0,52.709720050929135,27.308330781504342,17
Laredo-Texas,48.9,29.2,27.52,99.49,67.1,5.4,19.5,262491.0,41.17433201227308,5.1185758118128355,22
Lubbock-Texas,48.6,29.8,33.56,101.88,88.0,13.8,20.6,258862.0,42.42426416001091,31.183405001595947,36
Mesquite-Texas,47.2,39.2,32.78,96.61,81.9,4.9,7.1,140937.0,38.552677862236976,26.005610312570337,39
Pasadena-Texas,48.2,32.7,29.68,95.17,71.8,5.5,17.2,151227.0,41.6054015446459,26.323709046321543,24
Plano-Texas,49.4,39.4,33.05,96.75,93.9,23.5,7.5,287677.0,47.565831267950934,23.561464885516674,64
Round-Rock-Texas,49.0,33.7,30.51,97.67,92.7,8.8,6.0,133372.0,62.52191379273633,15.372185511936953,22
San-Antonio-Texas,49.3,34.4,29.45,98.51,82.7,9.6,16.8,1547253.0,43.5648333627833,16.82636710515036,100
Waco-Texas,49.1,28.9,31.55,97.16,83.4,9.3,25.8,139236.0,38.5894783445293,34.971861084859476,56
Logan-Utah,49.7,24.8,41.74,111.83,90.0,12.7,26.8,51542.0,12.254118733134497,1.4167021729867917,48
Orem-Utah,49.5,27.4,40.3,111.7,93.2,12.2,10.6,97828.0,9.05037904306146,0.49171061088267864,22
Park-City-Utah,50.1,40.5,40.66,111.5,94.7,22.9,8.8,8526.0,42.443012884043604,2.067503578901002,70
Provo-Utah,50.2,23.6,40.24,111.66,95.5,13.9,24.7,116618.0,9.05037904306146,0.49171061088267864,40
Salt-Lake-City-Utah,51.1,32.9,40.75,111.89,90.0,21.1,14.4,200567.0,26.762944869883604,2.6705061404062524,100
